Po Name,Zip,latitude,Pop2001,Area,zip2,State,longitude,Sumblkpop
BUTLER,62015,39.2194,596,35.3123,62015,IL,-89.5421,597
CARROLLTON,62016,39.3162,3133,44.90075,62016,IL,-90.4258,3142
COFFEEN,62017,39.0702,1375,30.34974,62017,IL,-89.3832,1296
COTTAGE HILLS,62018,38.9111,4313,2.41378,62018,IL,-90.0813,4320
DONNELLSON,62019,39.0191,738,28.16042,62019,IL,-89.4548,702
DORSEY,62021,38.9808,816,16.85885,62021,IL,-89.9756,856
DOW,62022,39.0343,1038,21.90409,62022,IL,-90.3307,948
EAST ALTON,62024,38.8523,12342,18.49467,62024,IL,-90.068,12534
EDWARDSVILLE,62025,38.8309,30703,114.06931,62025,IL,-89.9305,30607
EDWARDSVILLE,62026,38.7937,0,0.20564,62026,IL,-89.9991,0
